class1	class2	scaledPatristicDistance
24	4	0.0290949
24	5	0.0294752
24	6	0.0290435
24	7	0.0290435
24	8	0.0302605
24	9	0.0275979
24	10	0.0275979
24	11	0.0297317
24	12	0.0379039
24	13	0.0410311
24	14	0.0410311
24	15	0.0533559
24	16	0.0533559
24	17	0.0533559
24	18	0.0533559
24	19	0.0533559
24	20	0.0533559
24	21	0.0456671
24	22	0.0456671
24	23	0.0470579
25	0	0.0458863
25	1	0.0458863
25	2	0.0784747
25	3	0.0784747
25	4	0.0784747
25	5	0.0784747
25	6	0.0784747
25	7	0.0764751
25	8	0.0737781
25	9	0.0735819
25	10	0.0730999
25	11	0.0730999
25	12	0.0735008
25	13	0.0733012
25	14	0.0732854
25	15	0.0735339
25	16	0.0735496
25	17	0.0731822
25	18	0.073247
25	19	0.0733483
25	20	0.0733483
25	21	0.0734427
25	22	0.073427
25	23	0.0743145
25	24	0.0741907
26	0	0.0742065
26	1	0.0753223
26	2	0.0753223
26	3	0.0749389
26	4	0.0749389
26	5	0.0762824
26	6	0.0740944
26	7	0.0740944
26	8	0.0742461
26	9	0.0742303
26	10	0.0744549
26	11	0.074513
26	12	0.0746853
26	13	0.0740315
26	14	0.0740473
26	15	0.0743713
26	16	0.0743713
26	17	0.0751441
26	18	0.0767066
26	19	0.0758003
26	20	0.0758003
26	21	0.0784195
26	22	0.077136
26	23	0.0759526
26	24	0.0759526
26	25	0.0760286
27	0	0.0748704
27	1	0.0748704
27	2	0.077136
27	3	0.0772931
27	4	0.0772773
27	5	0.0763884
27	6	0.0763884
27	7	0.0764335
27	8	0.0781907
27	9	0.0787041
27	10	0.0762322
27	11	0.1731268
27	12	0.1526273
27	13	0.1526273
27	14	0.1526273
27	15	0.1526273
27	16	0.1526273
27	17	0.1526273
27	18	0.1526273
27	19	0.1526273
27	20	0.1526273
27	21	0.1526273
27	22	0.1526273
27	23	0.1526273
27	24	0.137791
27	25	0.1288728
27	26	0.127318
28	0	0.1273337
28	1	0.1280456
28	2	0.1270268
28	3	0.1270426
28	4	0.1270599
28	5	0.1270757
28	6	0.1276943
28	7	0.1276943
28	8	0.1285098
28	9	0.1286594
28	10	0.1299734
28	11	0.1326166
28	12	0.1326324
28	13	0.1323899
28	14	0.1323899
28	15	0.135674
28	16	0.1372792
28	17	0.1383975
28	18	0.1323522
28	19	0.1323522
28	20	0.1352659
28	21	0.1369684
28	22	0.1295902
28	23	0.1295902
28	24	0.1395134
28	25	0.1291518
28	26	0.1291518
28	27	0.1358209
29	0	0.1449691
29	1	0.148431
29	2	0.1488395
29	3	0.1536251
29	4	0.1536251
29	5	0.1536251
29	6	0.1536251
29	7	0.1536251
29	8	0.1410891
29	9	0.1330012
29	10	0.1304688
29	11	0.1304845
29	12	0.133085
29	13	0.1305203
29	14	0.1290632
29	15	0.1290474
29	16	0.1363489
29	17	0.1363331
